,sample_id,deg_CmpBst_s_mapEff_in,deg_CmpBst_s_mapWc_in,deg_CmpFan_s_mapEff_in,deg_CmpFan_s_mapWc_in,deg_CmpH_s_mapEff_in,deg_CmpH_s_mapWc_in,deg_TrbH_s_mapEff_in,deg_TrbH_s_mapWc_in,deg_TrbL_s_mapEff_in,deg_TrbL_s_mapWc_in,CRUISE_DECKSMRHPC_Tin,CRUISE_DECKSMRLPT_Tin,CRUISE_DECKSMRHPC_Pout_st,CRUISE_DTAMB,CRUISE_ALT,CRUISE_MACH,CRUISE_COMMAND,TAKEOFF_DECKSMRHPC_Tin,TAKEOFF_DECKSMRLPT_Tin,TAKEOFF_DECKSMRHPC_Pout_st,TAKEOFF_DTAMB,TAKEOFF_ALT,TAKEOFF_MACH,TAKEOFF_COMMAND,CLIMB1_DECKSMRHPC_Tin,CLIMB1_DECKSMRLPT_Tin,CLIMB1_DECKSMRHPC_Pout_st,CLIMB1_DTAMB,CLIMB1_ALT,CLIMB1_MACH,CLIMB1_COMMAND,CLIMB2_DECKSMRHPC_Tin,CLIMB2_DECKSMRLPT_Tin,CLIMB2_DECKSMRHPC_Pout_st,CLIMB2_DTAMB,CLIMB2_ALT,CLIMB2_MACH,CLIMB2_COMMAND
27,27,-0.0015276977045821302,-0.025339713176748685,-0.03502669096631359,0.023927084947111224,-0.017840357263399755,-0.04951490436546563,-0.022158995548476026,0.03449547376297778,-0.0029375024711173064,-0.04685113162682221,331.171083,1215.38216,1263375.02,10.0,35000,0.78,25000,385.764036,1392.89082,3416770.3,15.0,0.0,0.0,120000,360.916279,1281.94613,2270458.8,10.0,15000,0.55,120000,337.137281,1292.7286,1391941.39,10.0,35000,0.78,120000
28,28,-0.003021737531006395,0.0002548012723227813,-0.0221183724355522,0.02820048993933423,-0.013285616325871386,-0.004733009940562562,-0.0425246270599638,0.014626385861540428,-0.03576187647435882,0.011898328097096275,330.58455,1213.61812,1329601.51,10.0,35000,0.78,25000,386.388043,1399.11685,3671984.38,15.0,0.0,0.0,120000,361.678126,1290.22947,2447838.57,10.0,15000,0.55,120000,338.204123,1317.4363,1501918.89,10.0,35000,0.78,120000
29,29,-0.009416729276894284,0.017158430506827915,-0.002962420934509033,0.0003207094867360982,-0.015921787475798886,-0.045122122515142096,-0.010489785340293295,-0.03780202588027359,-0.015889738770385665,0.007357516724004455,338.740416,1150.21084,1445065.74,10.0,35000,0.78,25000,389.058328,1291.46017,3746138.32,15.0,0.0,0.0,120000,364.625614,1174.51876,2458588.49,10.0,15000,0.55,120000,341.84013,1182.89242,1507603.23,10.0,35000,0.78,120000
30,30,-0.014889498177289066,-0.011707641766730524,-0.03576803401797382,-0.023211378296152333,-0.04542878607206128,0.020029760507525182,-0.03919254474805018,0.0293604367287629,-0.022133231658750425,0.03186023158904604,342.504259,1216.79349,1326670.54,10.0,35000,0.78,25000,390.044276,1372.31297,3290030.91,15.0,0.0,0.0,120000,365.785051,1245.32538,2121109.82,10.0,15000,0.55,120000,341.930953,1213.96674,1316785.49,10.0,35000,0.78,120000
31,31,-0.026738938637011878,0.0048664885051240975,-0.02461628497026444,0.025705990551907892,-0.005183196224913124,-0.02146199645153004,-0.02768973203986347,-0.002685743345455946,-0.048148438237285644,-0.020948857926715345,333.166512,1218.87639,1363513.42,10.0,35000,0.78,25000,388.726275,1395.56496,3761504.1,15.0,0.0,0.0,120000,363.832523,1285.12123,2508588.55,10.0,15000,0.55,120000,341.122675,1323.56569,1533566.81,10.0,35000,0.78,120000
32,32,-0.03345817400976909,0.028815271657359934,-0.036164180602502344,0.01677165216813599,-0.04292428024438681,-0.030522069872448085,-0.020902195913973538,0.019467277723934265,-0.021816458814633812,-0.019288155614182463,339.452802,1219.27677,1322378.87,10.0,35000,0.78,25000,393.926214,1406.49223,3547395.25,15.0,0.0,0.0,120000,368.919345,1292.2397,2351245.99,10.0,15000,0.55,120000,345.466142,1275.69452,1466175.16,10.0,35000,0.78,120000
33,33,-0.03686744658115515,-0.01896192367450058,-0.03484739906440925,0.0037114247453392812,-0.04906605141865077,-9.150379243354212e-05,-0.009547547874114971,-0.014725715628271428,-0.036042246609411764,-0.04793593982270063,337.814248,1233.5538,1361986.29,10.0,35000,0.78,25000,390.370028,1407.87,3561755.6,15.0,0.0,0.0,120000,365.525937,1288.95745,2340926.27,10.0,15000,0.55,120000,341.01481,1268.35819,1452561.66,10.0,35000,0.78,120000
34,34,-0.0235687039650189,-0.04036710419672727,-0.00940044208804254,-0.007274945603573085,-0.006891312052314774,0.01896390812881353,-0.03897301353140867,0.005746616646160808,-0.031295037947679155,0.019904950802435595,335.073779,1190.85468,1352794.61,10.0,35000,0.78,25000,385.76131,1344.0489,3463354.81,15.0,0.0,0.0,120000,361.404523,1223.0407,2258391.64,10.0,15000,0.55,120000,336.203819,1210.13247,1391813.19,10.0,35000,0.78,120000
35,35,-0.02630808285001206,-0.034137033043274236,-0.02628247530573622,-0.04085794441122708,-0.027232992576490617,-0.0344181054204105,-0.045381961695003296,-0.02679924471651207,-0.017746076607787716,0.013400406558477379,346.127863,1197.68772,1416611.68,10.0,35000,0.78,25000,389.727664,1331.58741,3355266.71,15.0,0.0,0.0,120000,365.666936,1201.04122,2134653.24,10.0,15000,0.55,120000,341.801626,1168.22479,1319485.07,10.0,35000,0.78,120000
36,36,-0.014465618117845053,0.023504213129199106,-0.023558551782950056,-0.008470167209528617,-0.027828931642520264,-0.0359348866406323,-0.003887160708070922,0.022328768586691403,-0.01216681887916412,-0.011898366547361532,341.949373,1156.57242,1353552.33,10.0,35000,0.78,25000,391.619427,1312.87112,3422508.15,15.0,0.0,0.0,120000,367.238687,1194.99041,2231924.38,10.0,15000,0.55,120000,343.615623,1170.04073,1389717.94,10.0,35000,0.78,120000
37,37,-0.033881266073535324,0.012983572047271852,-0.005182096008886028,-0.02385155198416341,-0.0480788058243125,-0.028518226698033756,-0.00296806373168787,0.015562095962801253,-0.04569165991138871,-0.02272968570867738,347.465365,1193.52825,1362168.48,10.0,35000,0.78,25000,394.152836,1343.31378,3343107.16,15.0,0.0,0.0,120000,369.76001,1218.64237,2156579.57,10.0,15000,0.55,120000,346.631327,1186.78258,1342506.97,10.0,35000,0.78,120000
38,38,-0.006276496532626449,0.026851088010529225,-0.006390150746954697,-0.01518349565129963,-0.012188179736740419,0.024410694764060534,-0.009358880118001824,0.04004880533999616,-0.018559239288608524,0.00814946632080922,342.682362,1140.74756,1338388.38,10.0,35000,0.78,25000,391.039543,1289.00159,3338016.48,15.0,0.0,0.0,120000,366.885589,1170.80101,2166427.45,10.0,15000,0.55,120000,343.246873,1143.81817,1347247.79,10.0,35000,0.78,120000
39,39,-0.0498185369419956,-0.002897537342668094,-0.018794128999984613,0.029451122907915656,-0.0320061513429443,-0.0471634543694734,-0.040412699755598164,-0.01929535902534409,-0.020729274040899276,-0.009442314127067898,335.729866,1236.62336,1352813.01,10.0,35000,0.78,25000,391.814205,1423.68454,3721032.71,15.0,0.0,0.0,120000,366.574569,1312.73801,2481671.1,10.0,15000,0.55,120000,343.752257,1332.0479,1522957.98,10.0,35000,0.78,120000
40,40,-0.007150963695721248,0.019665246483587556,-0.043890647017715764,0.0075115292712031045,-0.04649851732891879,-0.0035033600194461917,-0.01864195421893202,0.017163103420339054,-0.00205320976593569,0.024000895269525757,337.136007,1185.59195,1345016.42,10.0,35000,0.78,25000,389.876516,1359.82726,3547821.95,15.0,0.0,0.0,120000,365.360479,1244.88555,2336752.47,10.0,15000,0.55,120000,341.30373,1227.32762,1453453.44,10.0,35000,0.78,120000
41,41,-0.02833284236805327,0.01107989998755296,-0.029545220363492067,0.019682373280882695,-0.010514499751602235,0.013807337553567084,-0.012571510937583318,-0.03077676794069222,-0.04059910211360645,-0.03191063822713089,334.449727,1189.65942,1421649.02,10.0,35000,0.78,25000,389.356092,1365.24734,3851670.24,15.0,0.0,0.0,120000,364.618188,1256.10006,2558660.72,10.0,15000,0.55,120000,341.064279,1273.03466,1575843.01,10.0,35000,0.78,120000
42,42,-0.04732813451966375,-0.03002893016839576,-0.04200271491706435,-0.03484132633361152,-0.03980296258882386,-0.004241185448687533,-0.024119276410313695,0.03015059115707694,-0.02852861597007663,-0.01580096385364168,347.013525,1225.81886,1324792.57,10.0,35000,0.78,25000,392.17965,1370.49565,3194650.33,15.0,0.0,0.0,120000,367.814364,1239.39171,2042539.31,10.0,15000,0.55,120000,344.018407,1206.60868,1266185.82,10.0,35000,0.78,120000
43,43,-0.012963897715086145,-0.049017686719283506,-0.025349060391989323,0.02052961582507569,-0.003520075649773531,-0.01096142568857525,-0.029062461839652824,-0.01350453099019299,-0.043372594064164424,-0.010630011844576404,328.261903,1239.67336,1357946.48,10.0,35000,0.78,25000,382.67582,1401.46675,3717993.92,15.0,0.0,0.0,120000,357.903941,1285.52112,2471154.28,10.0,15000,0.55,120000,334.201918,1336.20211,1496222.32,10.0,35000,0.78,120000
44,44,-0.01642556554988097,-0.04372417039395288,-0.016367310545967587,-0.03655443319269513,-0.0326353793756589,0.027832076242174958,-0.048990102392449345,-0.010611543605977068,-0.013527250157495653,-0.04961630896992754,348.561642,1256.02572,1315415.54,10.0,35000,0.78,25000,391.065158,1399.86593,3108551.27,15.0,0.0,0.0,120000,366.513753,1267.87139,1978100.92,10.0,15000,0.55,120000,343.475813,1228.15712,1221719.66,10.0,35000,0.78,120000
45,45,-0.03902117527579008,-0.0051073165690934536,-0.03835478914255031,0.009861497722861996,-0.0360458605029121,-0.01894682658310426,-0.0084900135897771,0.0495414393575415,-0.0318920404741707,0.04136359165789223,335.363998,1215.3033,1315566.06,10.0,35000,0.78,25000,388.662187,1374.06896,3547725.63,15.0,0.0,0.0,120000,363.857685,1253.48488,2346369.28,10.0,15000,0.55,120000,341.078549,1291.97457,1431090.42,10.0,35000,0.78,120000
46,46,-0.04778620657497932,-0.0005161042037320415,-0.030973012226779048,0.01055892589398822,-0.02028900860790377,-0.046559820755671256,-0.01082461657762266,0.04305940559030448,-0.04007421949496003,0.02649164726155305,337.083168,1226.64821,1320497.71,10.0,35000,0.78,25000,390.363106,1384.77217,3563642.4,15.0,0.0,0.0,120000,365.350267,1261.62872,2359807.68,10.0,15000,0.55,120000,343.105949,1303.36516,1438462.08,10.0,35000,0.78,120000
47,47,-0.040202017195370386,0.022420665016413904,-0.04105960876309887,-0.000507275687898219,-0.02163903777289063,0.0025562363169913394,-0.007713951606840672,-0.0006109875470366316,-0.001817314558709128,0.02358818910341444,340.350393,1153.24774,1405087.67,10.0,35000,0.78,25000,391.86579,1309.30919,3649428.44,15.0,0.0,0.0,120000,367.420856,1194.6834,2393061.9,10.0,15000,0.55,120000,343.840296,1190.25669,1480727.39,10.0,35000,0.78,120000
48,48,-0.01770439155471435,0.00822589717864243,-0.0342941531242045,0.02654636727094621,-0.00851802991713868,0.010465279964674515,-0.018237066337545085,-0.020225592868204214,-0.04678622896656106,-0.023565771900431923,331.775752,1205.2709,1401937.28,10.0,35000,0.78,25000,387.583684,1384.07062,3877023.43,15.0,0.0,0.0,120000,362.825058,1275.85564,2587365.57,10.0,15000,0.55,120000,339.739062,1314.68712,1583156.46,10.0,35000,0.78,120000
49,49,-0.016851001090555186,-0.033718358785760974,-0.039826216528260516,0.002547028678540765,-0.03839371611099298,-0.0008393155068797536,-0.03821570909758995,0.03237398751905894,-0.04518032866722513,-0.007512739244606756,333.954071,1252.36446,1296953.97,10.0,35000,0.78,25000,386.747915,1429.21586,3413600.76,15.0,0.0,0.0,120000,362.119321,1307.5358,2241058.63,10.0,15000,0.55,120000,337.044145,1293.03947,1389989.69,10.0,35000,0.78,120000
50,50,-0.045368352844241115,-0.009909122309378973,-0.020960528598647596,-0.02160290634014648,-0.04726013755737029,-0.03303989632861107,-0.031157225345872102,0.011162617637654935,-0.014747070823258712,0.034884143275664733,345.125304,1199.22897,1358592.13,10.0,35000,0.78,25000,392.619185,1350.28278,3365686.89,15.0,0.0,0.0,120000,368.180969,1225.00879,2172785.38,10.0,15000,0.55,120000,344.48212,1195.59235,1346910.93,10.0,35000,0.78,120000
51,51,-0.02503602957353647,-0.0018735945688315714,-0.011527783958453441,-0.028624489148906928,-0.0006670650202507747,0.004261604443846725,-0.004156946684900992,-0.027742692566725086,-0.03650734142178004,0.022172826575479324,341.659538,1136.10145,1482977.99,10.0,35000,0.78,25000,388.169893,1251.00936,3647919.92,15.0,0.0,0.0,120000,364.33814,1128.72475,2350233.7,10.0,15000,0.55,120000,340.139644,1120.52897,1451082.74,10.0,35000,0.78,120000
52,52,-0.013928274011787277,0.004102190741446757,-0.031576806449530315,-0.03208067232635607,-5.98362779324485e-05,-0.0054919354888626,-0.04147921459045049,-0.02999546447258364,-0.044386052445677296,0.038689038490079236,342.097351,1164.62229,1484187.29,10.0,35000,0.78,25000,388.84358,1298.39442,3636527.66,15.0,0.0,0.0,120000,365.090168,1173.03394,2336379.12,10.0,15000,0.55,120000,340.828073,1152.12329,1451658.74,10.0,35000,0.78,120000
53,53,-0.00534383252458305,-0.015364325092387207,-0.030193920847581827,0.0030872890923310664,-0.04150536382248784,-0.029367246126881793,-0.001762544151483629,0.0188362486957417,-0.03958295343393827,0.012163695709449765,333.531997,1205.8632,1352717.79,10.0,35000,0.78,25000,385.376109,1355.32853,3582287.3,15.0,0.0,0.0,120000,360.863834,1233.42354,2358778.09,10.0,15000,0.55,120000,337.559153,1261.81709,1439551.65,10.0,35000,0.78,120000
54,54,-0.0014945665013417972,-0.0072447755424227545,-0.009919534865440859,-0.01879225733146102,-0.024570797944284385,-0.03515859649060348,-0.014196286357920966,-0.04708004928364619,-0.003877665086397371,0.003566220972677406,340.314307,1142.59351,1458836.58,10.0,35000,0.78,25000,387.782876,1280.63595,3596592.35,15.0,0.0,0.0,120000,363.72887,1161.40115,2327336.95,10.0,15000,0.55,120000,339.564069,1137.10361,1441267.89,10.0,35000,0.78,120000
